"FIPS","NAME","STATE_NAME","STATE_FIPS","CNTY_FIPS","X","lname","votes","totalvotes","state","county","pct","adjacent_ideology.x","divergence.x","state.x","population","cuml.cases","deaths","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","county.x","pct.x","density","deaths_adjusted","cuml.cases_adjusted","cases_to_deaths","Age_over_65","deaths_age65_ratio","age65_ratio","broadband_access.y","Series_Complete_Pop_Pct","adjacent_ideology.y","divergence.y","State","County","Smoking","Obesity","FEI","Excessive_Drinking","Uninsured","Flu_Vaccination","HS_graduation","Some_College","Unemployed","Children_in_Poverty","Income_Ratio","Single_Parent","Associations","Violent_Crime","Severe_Housing_Problems","Diabetes","Food_Insecurity","Uninsured_Adults","African_Americans","American_Native","Asian","Pacific_Islander","Hispanic","Non_Hispanic_White","policy","divergence_scaled","density_scaled","Series_Complete_Pop_Pct_scaled"
"08025","Crowley","Colorado","08","025",457,"Biden",437,1708,"colorado","crowley",0.255854800936768,0.325584769138041,-0.241012755473487,"colorado",5630,2178,15,0.9519,0.2315,0.8507,0.8478,"crowley",0.255854800936768,0.693886906999929,0.00266429840142096,0.25,0.0068870523415978,770,0.0194805194805195,0.136767317939609,0.22,21.6,0.325584769138041,0.785831602670244,"Colorado","Crowley",0.22025341021,0.229,0.077,0.17841836728,0.082534389329,0.32,0.8275862069,0.33720255369,0.030864197531,0.376,0.048261273826,0.32451253482,0.070249385318,0.6518904824,0.15811965812,0.061,0.145,0.097947214076,0.10395869191,0.033734939759,0.012048192771,0.00017211704,0.31222030981,0.54337349398,"D",0,0.357064120625486,0.216
"13053","Chattahoochee","Georgia","13","053",768,"Biden",667,1547,"georgia","chattahoochee",0.431157078215902,0.543545000681508,-0.231640026751065,"georgia",10767,3942,15,0.6341,0.0952,0.6479,0.8889,"chattahoochee",0.431157078215902,1.33849680018519,0.00139314572304263,0.25,0.00380517503805175,338,0.0443786982248521,0.0313922169592273,0.2,95,0.543545000681508,0.793231614080359,"Georgia","Chattahoochee",0.1964341402,0.276,0.044,0.23314391387,0.11746478873,0.4,0.86315789474,0.74273381295,0.073275862069,0.226,0.035103760833,0.22883106154,0.01831166453,0,0.16730769231,0.063,0.164,0.14767764986,0.18950014503,0.016339553321,0.035579619066,0.006961229817,0.15517741468,0.57584839988,"R",0,0.507372819958962,0.95
"08011","Bent","Colorado","08","011",442,"Biden",732,2235,"colorado","bent",0.32751677852349,0.271246363962784,0.188511785876453,"colorado",5809,1521,21,0.8701,0.6457,0.8313,0.8077,"bent",0.32751677852349,0.377487370911308,0.00361508004820107,0.25,0.0138067061143984,1033,0.0203291384317522,0.1778275090377,0.24,26.7,0.271246363962784,1.20745131377476,"Colorado","Bent",0.20664542499,0.254,0.073,0.17781493539,0.12458908613,0.37,0.70108695652,0.33219678519,0.027012987013,0.348,0.044287011218,0.29125138427,0.068247739294,1.3348758565,0.18042813456,0.069,0.131,0.15151515152,0.076625126305,0.032334119232,0.015830245874,0.001178848097,0.32586729539,0.55961603233,"D",0.0654649280399819,0.312028183292833,0.267
"47169","Trousdale","Tennessee","47","169",4963,"Biden",1011,3941,"tennessee","trousdale",0.256533874651104,0.237716877603943,0.0761803451592325,"tennessee",9573,2497,22,0.8127,0.22,0.4177,0.2862,"trousdale",0.256533874651104,1.44282973405368,0.0022981301577353,0.25,0.00881057268722467,1425,0.0154385964912281,0.148856157944218,0.28,36.6,0.237716877603943,1.07915717738187,"Tennessee","Trousdale",0.20780124785,0.311,0,0.15246940753,0.12244897959,0.51,0.97916666667,0.48883270122,0.034500125913,0.207,0.04105407658,0.3949624866,0.084633055253,4.9638705624,0.15384615385,0.138,0.127,0.15242814668,0.10572250322,0.006843201428,0.005553902608,9.9176832e-05,0.02638103739,0.84111871467,"R",0.0249794461498508,0.542161915997579,0.366
"46041","Dewey","South Dakota","46","041",4703,"Biden",1131,1921,"south dakota","dewey",0.588755856324831,0.282601613136194,0.733973413899552,"south dakota",5779,1461,27,0.9446,0.5138,0.5021,0.8975,"dewey",0.588755856324831,-0.18283073888303,0.00467208859664302,0.252811905173906,0.0184804928131417,560,0.0482142857142857,0.0969025783007441,0.37,73.7,0.282601613136194,2.0833421642257,"South Dakota","Dewey",0.28226205704,0.372,0.055,0.17914471035,0.18878467372,0.28,0.88001066667,0.45791505792,0.10205908684,0.419,0.053886753111,0.54712301587,0.13932427726,0,0.17682926829,0.158,0.188,0.25959960617,0.003427592117,0.74035989717,0.002399314482,0.000171379606,0.045758354756,0.20102827763,"R",0.341867764215345,0.260119784597303,0.737
"05079","Lincoln","Arkansas","05","079",244,"Biden",1032,3761,"arkansas","lincoln",0.274395107684127,0.392504921907302,-0.357980010481745,"arkansas",13695,3199,48,0.7277,0.2146,0.639,0.9873,"lincoln",0.274395107684127,1.17150456808882,0.00350492880613363,0.233588901058781,0.0150046889653017,2030,0.0236453201970443,0.148229280759401,0.46,35.2,0.392504921907302,0.699087049280189,"Arkansas","Lincoln",0.2282574297,0.349,0.055,0.15211409558,0.10603222181,0.4,0.94690265487,0.28903654485,0.041873141724,0.261,0.046486339458,0.3039538715,0.087559284933,1.5485450879,0.13985148515,0.143,0.207,0.12970123023,0.30382529679,0.005202989887,0.003077825004,7.3281548e-05,0.036274366115,0.64282573648,"R",0,0.458719998870517,0.352
"47095","Lake","Tennessee","47","095",4890,"Biden",526,2018,"tennessee","lake",0.260654112983152,0.25049498927434,0.0397553733782806,"tennessee",7526,1700,26,0.9806,0.6129,0.3906,0.9481,"lake",0.260654112983152,1.34921376834824,0.00345469040659049,0.225883603507839,0.0152941176470588,1144,0.0227272727272727,0.152006377889981,0.33,35.1,0.25049498927434,1.0405561953085,"Tennessee","Lake",0.26587843402,0.35,0.067,0.14031421069,0.11204759544,0.38,0.96226415094,0.25434694703,0.056481979559,0.463,0.063198635976,0.52398871119,0.11904761905,2.0975353959,0.11004784689,0.122,0.221,0.13985313752,0.28642206749,0.004686663096,0.001874665238,0.00026780932,0.02289769684,0.66617568291,"R",0.0127982241188857,0.510781375186189,0.351
"20137","Norton","Kansas","20","137",1846,"Biden",361,2338,"kansas","norton",0.154405474764756,0.140485988375082,0.0944743383499988,"kansas",5486,1220,27,0.2707,0.0834,0.497,0.6555,"norton",0.154405474764756,0.626901697739377,0.0049216186656945,0.22238425082027,0.0221311475409836,1117,0.0241718889883617,0.203609187021509,0.14,52.7,0.140485988375082,1.09908095854022,"Kansas","Norton",0.16347305998,0.339,0.077,0.16749216231,0.094153170464,0.38,0.875,0.56231671554,0.022340425532,0.162,0.033990573449,0.38765670203,0.2730748225,0.89968511021,0.091981132075,0.096,0.113,0.11022120519,0.03161183606,0.00404337438,0.007351589781,0.000367579489,0.052931446425,0.88990994303,"Split",0.0312667473777032,0.346306082133596,0.527
"46009","Bon Homme","South Dakota","46","009",4672,"Biden",721,2956,"south dakota","bon homme",0.243910690121786,0.273963824187238,-0.116193934958817,"south dakota",6969,1542,27,0.3414,0.0888,0.3493,0.418,"bon homme",0.243910690121786,0.926529593101701,0.00387430047352561,0.221265604821352,0.0175097276264591,1423,0.0189739985945186,0.204189984215813,0.23,57.4,0.273963824187238,0.890302545766361,"South Dakota","Bon Homme",0.16168840812,0.349,0.086,0.21307535316,0.10670091058,0.32,0.93024534884,0.5337995338,0.0305003427,0.17,0.04222085187,0.19115191987,0.28636884307,0.14281633819,0.084677419355,0.099,0.098,0.12495867769,0.011311569301,0.081042382589,0.001718213058,0.000143184422,0.027491408935,0.86884306987,"R",0,0.400555651780431,0.574
"19021","Buena Vista","Iowa","19","021",1531,"Biden",2961,8017,"iowa","buena vista",0.369340152176625,0.269384669389123,0.315577685182921,"iowa",20260,4237,40,0.5806,0.405,0.9312,0.7052,"buena vista",0.369340152176625,1.27005434512852,0.00197433366238894,0.209131293188549,0.00944064196365353,3027,0.013214403700033,0.149407699901283,0.14,67.6,0.269384669389123,1.37105111814332,"Iowa","Buena Vista",0.14361101644,0.329,0.089,0.1851646106,0.093220860784,0.5,0.68345323741,0.5201604391,0.026766969909,0.163,0.037913772455,0.3120649652,0.23116269919,3.1095887083,0.14669286182,0.099,0.086,0.11408025568,0.030084535057,0.006315266037,0.092441571358,0.016061660865,0.25788165092,0.59502734958,"R",0.117091737364366,0.486445317170718,0.676
