FIPS,Age_over_65
01001,8283
01003,42531
01005,4710
01007,3584
01009,10326
01011,1640
01013,3900
01015,19738
01017,6470
01019,5811
01021,7052
01023,2922
01025,4679
1027,2698
01029,2899
01031,8550
01033,10644
01035,2746
01037,2430
01039,7726
01041,2609
01043,15116
01045,8081
01047,6809
01049,11883
01051,12053
01053,6566
01055,19257
01057,3438
01059,5304
01061,5275
01063,1773
01065,2777
01067,3785
01069,18052
01071,10113
01073,101785
01075,2983
01077,18228
01079,5998
01081,18696
01083,14328
01085,1856
01087,3614
01089,53151
01091,3729
01093,6288
01095,16093
01097,65339
01099,4100
01101,33107
01103,20412
01105,1772
01107,3739
01109,4946
01111,4622
01113,8029
01115,14317
01117,31716
01119,2234
01121,14052
01123,8505
01125,26673
01127,12191
01129,3047
01131,2026
01133,5075
02013,318
02016,347
02020,30873
02050,1301
02060,87
02068,209
02070,499
02090,9699
02100,633
02105,439
02110,4039
02122,9631
02130,2050
02150,1319
02158,454
02164,109
02170,11939
02180,702
02185,671
02188,575
02195,717
02198,1027
02220,1310
02230,130
02240,938
02261,1134
02275,569
02282,94
02290,770
04001,10694
04003,27278
04005,16983
04007,15199
04009,5202
04011,1178
04012,8025
04013,641814
04015,61383
04017,19062
04019,197361
04021,85974
04023,8037
04025,69858
04027,38700
05001,3405
05003,4036
05005,12779
05007,35271
05009,7591
05011,1994
05013,1102
05015,6307
05017,2120
05019,3634
05021,3141
05023,6719
05025,1664
05027,4065
05029,3939
05031,14510
05033,10276
05035,6619
05037,3084
05039,1617
05041,2187
05043,3127
05045,15058
05047,3397
05049,3122
05051,23000
05053,3228
05055,7076
05057,3905
05059,6288
05061,2346
05063,6453
05065,3390
05067,2986
05069,11625
05071,4285
05073,1582
05075,3199
05077,1729
05079,2030
05081,2547
05083,4284
05085,9549
05087,3061
05089,4631
05091,7136
05093,6088
05095,1609
05097,2403
05099,1693
05101,1991
05103,4675
05105,2062
05107,3375
05109,2169
05111,4256
05113,4509
05115,9732
05117,1915
05119,58959
05121,3525
05123,4173
05125,20913
05127,2150
05129,2001
05131,19894
05133,2372
05135,4435
05137,3335
05139,6804
05141,4268
05143,26461
05145,12691
05147,1481
05149,3745
06001,224026
06003,311
06005,10246
06007,40685
06009,12519
06011,3082
06013,175882
06015,4727
06017,38570
06019,117777
06021,4460
06023,23518
06025,22841
06027,4097
06029,94712
06031,15063
06033,14333
06035,4379
06037,1335978
06039,21431
06041,56170
06043,4790
06045,18532
06047,29956
06049,2401
06051,2049
06053,57240
06055,25968
06057,26254
06059,455105
06061,73772
06063,5050
06065,340575
06067,209596
06069,7529
06071,241961
06073,454089
06075,134981
06077,93081
06079,54847
06081,120877
06083,66563
06085,254174
06087,43155
06089,36272
06091,892
06093,10732
06095,67309
06097,94913
06099,69679
06101,14418
06103,12307
06105,3410
06107,51531
06109,13827
06111,127628
06113,26396
06115,9375
08001,51105
08003,2130
08005,82111
08007,3384
08009,926
08011,1033
08013,44094
08014,9026
08015,4899
08017,335
08019,1846
08021,1513
08023,1023
08025,770
08027,1717
08029,7727
08031,81488
08033,513
08035,38417
08037,5877
08039,3984
08041,87111
08043,10010
08045,7477
08047,1079
08049,2561
08051,2186
08053,210
08055,2083
08057,357
08059,91969
08061,368
08063,1365
08065,818
08067,9150
08069,52161
08071,3377
08073,971
08075,3838
08077,28079
08079,221
08081,1808
08083,5605
08085,9635
08087,4384
08089,3671
08091,1330
08093,3566
08095,741
08097,3192
08099,2092
08101,30198
08103,973
08105,2196
08107,3664
08109,1475
08111,146
08113,1088
08115,537
08117,3914
08119,5163
08121,977
08123,36217
08125,1825
09001,146621
09003,149889
09005,37457
09007,32072
09009,145741
09011,47421
09013,23140
09015,18712
10001,29417
10003,84268
10005,60489
11001,83670
12001,36313
12003,3873
12005,31048
12007,4867
12009,137161
12011,314061
12013,2755
12015,71735
12017,52661
12019,32543
12021,117197
12023,12791
12027,8002
12029,3773
12031,128443
12033,51909
12035,32922
12037,2681
12039,7957
12041,3637
12043,3638
12045,3221
12047,2431
12049,4285
12051,5345
12053,51205
12055,36409
12057,198181
12059,3850
12061,49685
12063,9234
12065,3249
12067,1188
12069,91815
12071,207169
12073,37380
12075,9734
12077,1280
12079,3716
12081,103677
12083,101238
12085,48674
12086,430906
12087,16789
12089,17884
12091,32045
12093,8135
12095,157152
12097,45618
12099,346044
12101,118202
12103,234815
12105,138341
12107,16634
12109,48237
12111,74360
12113,27609
12115,151209
12117,70111
12119,70918
12121,9036
12123,4304
12125,2290
12127,129563
12129,4715
12131,13310
12133,4268
13001,3107
13003,1117
13005,1721
13007,743
13009,6959
13011,3079
13013,9745
13015,14363
13017,2850
13019,3364
13021,23236
13023,2261
13025,3008
13027,2944
13029,3892
13031,8479
13033,3384
13035,3707
13037,958
13039,6762
13043,1890
13045,15650
13047,11485
13049,1940
13051,43050
13053,338
13055,4295
13057,33259
13059,13351
13061,762
13063,25570
13065,1039
13067,89040
13069,5873
13071,6937
13073,19884
13075,2729
13077,19347
13079,2219
13081,4137
13083,3068
13085,4913
13087,4267
13089,89507
13091,3642
13093,2642
13095,13718
13097,16318
13099,1957
13101,641
13103,6903
13105,3884
13107,3545
13109,1756
13111,7228
13113,19884
13115,16060
13117,26669
13119,4388
13121,118227
13123,7335
13125,494
13127,16612
13129,8247
13131,4406
13133,4935
13135,88110
13137,8245
13139,28912
13141,1904
13143,4608
13145,6163
13147,5628
13149,1953
13151,25576
13153,19060
13155,1741
13157,9779
13159,2441
13161,2274
13163,2806
13165,1567
13167,1756
13169,4967
13171,3127
13173,1434
13175,8175
13177,3691
13179,5382
13181,1826
13183,1692
13185,13703
13187,5459
13189,3710
13191,3639
13193,2201
13195,4865
13197,1742
13199,4191
13201,1252
13205,3579
13207,4908
13209,1502
13211,3611
13213,5720
13215,25445
13217,13687
13219,5714
13221,2818
13223,16679
13225,4210
13227,6708
13229,3228
13231,2837
13233,6453
13235,2229
13237,5101
13239,570
13241,4571
13243,1503
13245,27400
13247,12577
13249,837
13251,2554
13253,1900
13255,11529
13257,5081
13259,937
13261,5014
13263,1483
13265,406
13267,3520
13269,1581
13271,2811
13273,1639
13275,7852
13277,5859
13279,4357
13281,3996
13283,1408
13285,10118
13287,1547
13289,1802
13291,7568
13293,4719
13295,12639
13297,13860
13299,6014
13301,1143
13303,3617
13305,4657
13307,523
13309,1117
13311,6505
13313,14293
13315,1468
13317,2250
13319,1688
13321,3844
15001,40272
15003,170369
15005,11
15007,13859
15009,29095
16001,63734
16003,1209
16005,11817
16007,1235
16009,2028
16011,6295
16013,3977
16015,1835
16017,10361
16019,14935
16021,2519
16023,536
16025,197
16027,29229
16029,1158
16031,3260
16033,135
16035,2313
16037,1368
16039,3480
16041,1859
16043,2214
16045,3678
16047,2528
16049,4407
16051,3127
16053,2990
16055,29082
16057,5149
16059,2297
16061,947
16063,695
16065,2590
16067,3275
16069,7880
16071,841
16073,2074
16075,4160
16077,1203
16079,2816
16081,1244
16083,12788
16085,2949
16087,2475
17001,13186
17003,1332
17005,3031
17007,8334
17009,960
17011,7163
17013,1124
17015,3598
17017,2156
17019,25959
17021,6374
17023,3041
17025,2661
17027,6261
17029,8495
17031,741170
17033,3558
17035,2094
17037,12682
17039,2990
17041,3445
17043,139388
17045,3777
17047,1350
17049,5851
17051,4058
17053,2498
17055,7819
17057,7045
17059,1191
17061,2502
17063,6881
17065,1759
17067,4102
17069,976
17071,1688
17073,10006
17075,5895
17077,8597
17079,1827
17081,7074
17083,4185
17085,5873
17087,2615
17089,69950
17091,18008
17093,12753
17095,10528
17097,96339
17099,20269
17101,3005
17103,6511
17105,6818
17107,5224
17109,5234
17111,43124
17113,21949
17115,20493
17117,8895
17119,44479
17121,7288
17123,2661
17125,3005
17127,2962
17129,2388
17131,3284
17133,5891
17135,5655
17137,6703
17139,2766
17141,9276
17143,30069
17145,3924
17147,3134
17149,3225
17151,1150
17153,1201
17155,1298
17157,5971
17159,3166
17161,27050
17163,39961
17165,4785
17167,33946
17169,1528
17171,996
17173,4801
17175,1192
17177,9959
17179,24376
17181,3470
17183,14530
17185,2336
17187,3186
17189,2796
17191,3493
17193,2993
17195,11371
17197,86914
17199,12505
17201,48452
17203,6727
18001,5352
18003,52951
18005,13234
18007,1520
18009,2524
18011,8462
18013,3661
18015,3844
18017,6594
18019,17949
18021,4676
18023,5214
18025,2025
18027,5029
18029,8421
18031,4384
18033,6778
18035,19384
18037,7171
18039,29243
18041,4552
18043,12125
18045,3205
18047,3993
18049,3799
18051,5787
18053,12406
18055,6201
18057,38362
18059,11971
18061,6878
18063,21828
18065,8991
18067,15690
18069,6128
18071,6978
18073,5783
18075,3615
18077,5590
18079,4412
18081,22150
18083,6494
18085,12827
18087,5259
18089,78104
18091,19099
18093,9006
18095,23226
18097,116806
18099,8028
18101,1951
18103,6198
18105,18463
18107,6810
18109,11371
18111,2647
18113,7233
18115,1232
18117,3697
18119,3950
18121,3239
18123,3468
18125,2437
18127,26892
18129,4654
18131,2374
18133,6123
18135,4907
18137,4925
18139,2974
18141,41609
18143,3947
18145,7400
18147,3940
18149,4089
18151,6746
18153,3577
18155,1894
18157,21322
18159,3075
18161,1339
18163,29766
18165,3022
18167,17153
18169,6401
18171,1658
18173,10594
18175,4657
18177,12467
18179,5024
18181,4711
18183,5943
19001,1566
19003,836
19005,3076
19007,2827
19009,1354
19011,4631
19013,21138
19015,4665
19017,4866
19019,3769
19021,3027
19023,3268
19025,2222
19027,4000
19029,2954
19031,3553
19033,9043
19035,2666
19037,2420
19039,1671
19041,3329
19043,4045
19045,9057
19047,2900
19049,10357
19051,1555
19053,1567
19055,3276
19057,7981
19059,4374
19061,16778
19063,1937
19065,4159
19067,3428
19069,2109
19071,1547
19073,1996
19075,2519
19077,2358
19079,3024
19081,2358
19083,3634
19085,2736
19087,3676
19089,1866
19091,1987
19093,1511
19095,2984
19097,3957
19099,6989
19101,3915
19103,16810
19105,4144
19107,2194
19109,3456
19111,6805
19113,34771
19115,2049
19117,1836
19119,2103
19121,2735
19123,4005
19125,5805
19127,7069
19129,2711
19131,2306
19133,2125
19135,1533
19137,2100
19139,6908
19141,2836
19143,1269
19145,3305
19147,1938
19149,4531
19151,1544
19153,61222
19155,15838
19157,3715
19159,1192
19161,2270
19163,27192
19165,2632
19167,5301
19169,11437
19171,3324
19173,1355
19175,2475
19177,1582
19179,6100
19181,7781
19183,4141
19185,1395
19187,6587
19189,2197
19191,4057
19193,15071
19195,1503
19197,2806
20001,2541
20003,1657
20005,2752
20007,998
20009,4986
20011,2840
20013,1877
20015,9898
20017,637
20019,866
20021,3839
20023,705
20025,478
20027,1868
20029,1876
20031,1717
20033,454
20035,6399
20037,5920
20039,785
20041,3663
20043,1449
20045,14205
20047,606
20049,730
20051,4315
20053,1284
20055,3905
20057,3618
20059,4205
20061,2767
20063,702
20065,668
20067,962
20069,895
20071,243
20073,1503
20075,351
20077,1245
20079,6615
20081,570
20083,413
20085,2498
20087,3487
20089,855
20091,83169
20093,572
20095,1600
20097,534
20099,3717
20101,288
20103,11394
20105,721
20107,2137
20109,566
20111,4910
20113,5573
20115,2764
20117,2081
20119,724
20121,5694
20123,1452
20125,6258
20127,1355
20129,578
20131,1992
20133,3095
20135,727
20137,1117
20139,3105
20141,862
20143,1157
20145,1344
20147,1219
20149,3363
20151,1785
20153,672
20155,12120
20157,1277
20159,1800
20161,6690
20163,1118
20165,751
20167,1637
20169,9412
20171,891
20173,72054
20175,2099
20177,31300
20179,589
20181,1114
20183,991
20185,881
20187,351
20189,816
20191,4230
20193,1276
20195,718
20197,1345
20199,349
20201,1309
20203,400
20205,1826
20207,771
20209,19840
21001,3571
21003,3628
21005,3459
21007,1666
21009,7525
21011,1997
21013,4979
21015,16864
21017,3800
21019,9014
