FIPS,State,County,broadband_access
01001,Alabama,Autauga,83
01003,Alabama,Baldwin,85
01005,Alabama,Barbour,65
01007,Alabama,Bibb,76
01009,Alabama,Blount,80
01011,Alabama,Bullock,61
01013,Alabama,Butler,74
01015,Alabama,Calhoun,80
01017,Alabama,Chambers,75
01019,Alabama,Cherokee,75
01021,Alabama,Chilton,75
01023,Alabama,Choctaw,63
01025,Alabama,Clarke,63
01027,Alabama,Clay,72
01029,Alabama,Cleburne,71
01031,Alabama,Coffee,83
01033,Alabama,Colbert,73
01035,Alabama,Conecuh,62
01037,Alabama,Coosa,76
01039,Alabama,Covington,75
01041,Alabama,Crenshaw,67
01043,Alabama,Cullman,79
01045,Alabama,Dale,81
01047,Alabama,Dallas,72
01049,Alabama,DeKalb,78
01051,Alabama,Elmore,84
01053,Alabama,Escambia,66
01055,Alabama,Etowah,80
01057,Alabama,Fayette,70
01059,Alabama,Franklin,63
01061,Alabama,Geneva,71
01063,Alabama,Greene,56
01065,Alabama,Hale,63
01067,Alabama,Henry,78
01069,Alabama,Houston,78
01071,Alabama,Jackson,75
01073,Alabama,Jefferson,83
01075,Alabama,Lamar,65
01077,Alabama,Lauderdale,77
01079,Alabama,Lawrence,67
01081,Alabama,Lee,85
01083,Alabama,Limestone,83
01085,Alabama,Lowndes,53
01087,Alabama,Macon,67
01089,Alabama,Madison,88
01091,Alabama,Marengo,66
01093,Alabama,Marion,70
01095,Alabama,Marshall,84
01097,Alabama,Mobile,78
01099,Alabama,Monroe,48
01101,Alabama,Montgomery,83
01103,Alabama,Morgan,77
01105,Alabama,Perry,54
01107,Alabama,Pickens,71
01109,Alabama,Pike,70
01111,Alabama,Randolph,76
01113,Alabama,Russell,74
01115,Alabama,St. Clair,82
01117,Alabama,Shelby,91
01119,Alabama,Sumter,65
01121,Alabama,Talladega,79
01123,Alabama,Tallapoosa,77
01125,Alabama,Tuscaloosa,82
01127,Alabama,Walker,76
01129,Alabama,Washington,69
01131,Alabama,Wilcox,63
01133,Alabama,Winston,71
02013,Alaska,Aleutians East,58
02016,Alaska,Aleutians West,79
02020,Alaska,Anchorage,92
02050,Alaska,Bethel,73
02060,Alaska,Bristol Bay,81
02068,Alaska,Denali,85
02070,Alaska,Dillingham,73
02090,Alaska,Fairbanks North Star,87
02100,Alaska,Haines,86
02105,Alaska,Hoonah-Angoon,61
02110,Alaska,Juneau,91
02122,Alaska,Kenai Peninsula,83
02130,Alaska,Ketchikan Gateway,87
02150,Alaska,Kodiak Island,86
02158,Alaska,Kusilvak,66
02164,Alaska,Lake and Peninsula,69
02170,Alaska,Matanuska-Susitna,88
02180,Alaska,Nome,78
02185,Alaska,North Slope,72
