"FIPS","name","density"
1001,"Autauga County",91.8
1003,"Baldwin County",114.6
1005,"Barbour County",31
1007,"Bibb County",36.8
1009,"Blount County",88.9
1011,"Bullock County",17.5
1013,"Butler County",27
1015,"Calhoun County",195.7
1017,"Chambers County",57.4
1019,"Cherokee County",46.9
1021,"Chilton County",63
1023,"Choctaw County",15.2
1025,"Clarke County",20.9
1027,"Clay County",23.1
1029,"Cleburne County",26.7
1031,"Coffee County",73.6
1033,"Colbert County",91.8
1035,"Conecuh County",15.6
1037,"Coosa County",17.7
1039,"Covington County",36.6
1041,"Crenshaw County",22.8
1043,"Cullman County",109.4
1045,"Dale County",89.6
1047,"Dallas County",44.8
1049,"DeKalb County",91.5
1051,"Elmore County",128.2
1053,"Escambia County",40.5
1055,"Etowah County",195.2
1057,"Fayette County",27.5
1059,"Franklin County",50
1061,"Geneva County",46.6
1063,"Greene County",14
1065,"Hale County",24.5
1067,"Henry County",30.8
1069,"Houston County",175.1
1071,"Jackson County",49.4
1073,"Jefferson County",592.5
1075,"Lamar County",24.1
1077,"Lauderdale County",138.8
1079,"Lawrence County",49.7
1081,"Lee County",230.8
1083,"Limestone County",147.8
1085,"Lowndes County",15.8
1087,"Macon County",35.2
1089,"Madison County",417.7
1091,"Marengo County",21.5
1093,"Marion County",41.5
1095,"Marshall County",164.4
1097,"Mobile County",335.9
1099,"Monroe County",22.5
1101,"Montgomery County",292.5
1103,"Morgan County",206.3
1105,"Perry County",14.7
1107,"Pickens County",22.4
1109,"Pike County",48.9
1111,"Randolph County",39.5
1113,"Russell County",82.6
1115,"St. Clair County",132.3
1117,"Shelby County",248.5
1119,"Sumter County",15.2
1121,"Talladega County",111.7
1123,"Tallapoosa County",58.1
1125,"Tuscaloosa County",147.3
1127,"Walker County",84.7
1129,"Washington County",16.3
1131,"Wilcox County",13.1
1133,"Winston County",39.9
2013,"Aleutians East Borough",0.4
2016,"Aleutians West Census Area",1.3
2020,"Anchorage Municipality",171.2
2050,"Bethel Census Area",0.4
2060,"Bristol Bay Borough",2
