"","FIPS","lname","votes","totalvotes","state","county","pct"
"2","01001","Trump",19764,27214,"alabama","autauga",0.726243845079738
"3","01003","Trump",83055,107399,"alabama","baldwin",0.773331222823304
"5","01005","Trump",5605,10377,"alabama","barbour",0.540136841090874
"7","01007","Trump",7508,9490,"alabama","bibb",0.791148577449947
"9","01009","Trump",24595,27222,"alabama","blount",0.903497171405481
"11","01011","Trump",1143,4582,"alabama","bullock",0.249454386730685
"14","01013","Trump",5448,9401,"alabama","butler",0.579512817785342
"15","01015","Trump",34964,50082,"alabama","calhoun",0.698135058504053
"18","01017","Trump",8748,15104,"alabama","chambers",0.579184322033898
"19","01019","Trump",10562,12181,"alabama","cherokee",0.867088088005911
"21","01021","Trump",16052,19108,"alabama","chilton",0.840066987649152
"23","01023","Trump",4294,7420,"alabama","choctaw",0.578706199460916
"25","01025","Trump",7310,13040,"alabama","clarke",0.56058282208589
"28","01027","Trump",5589,6851,"alabama","clay",0.815793314844548
"30","01029","Trump",6472,7144,"alabama","cleburne",0.905935050391937
"32","01031","Trump",16832,21882,"alabama","coffee",0.769216707796362
"34","01033","Trump",17311,24368,"alabama","colbert",0.710398883782009
"35","01035","Trump",3435,6386,"alabama","conecuh",0.537895396179142
"37","01037","Trump",3626,5420,"alabama","coosa",0.6690036900369
"40","01039","Trump",14579,17296,"alabama","covington",0.842911655874191
"41","01041","Trump",4864,6564,"alabama","crenshaw",0.741011578305911
"44","01043","Trump",36804,41258,"alabama","cullman",0.892045179116777
"46","01045","Trump",14281,19435,"alabama","dale",0.734808335477232
"47","01047","Trump",5523,17751,"alabama","dallas",0.311137400709819
"50","01049","Trump",24744,29015,"alabama","de kalb",0.852800275719455
"51","01051","Trump",30089,40393,"alabama","elmore",0.744906295645285
"53","01053","Trump",10844,15738,"alabama","escambia",0.689032913966196
"56","01055","Trump",35343,46830,"alabama","etowah",0.754708520179372
"57","01057","Trump",7295,8685,"alabama","fayette",0.839953943580887
"59","01059","Trump",10364,12449,"alabama","franklin",0.832516668005462
"61","01061","Trump",10844,12436,"alabama","geneva",0.871984560952075
"64","01063","Trump",875,4755,"alabama","greene",0.184016824395373
"65","01065","Trump",3190,7877,"alabama","hale",0.404976513901231
"68","01067","Trump",6593,9182,"alabama","henry",0.718035286429972
"69","01069","Trump",32384,45122,"alabama","houston",0.717698683568991
"71","01071","Trump",19644,23353,"alabama","jackson",0.84117672247677
"73","01073","Trump",138443,319379,"alabama","jefferson",0.433475588564057
"76","01075","Trump",6168,7146,"alabama","lamar",0.863140218303946
"77","01077","Trump",31578,43450,"alabama","lauderdale",0.726766398158803
"79","01079","Trump",12266,15810,"alabama","lawrence",0.77583807716635
"82","01081","Trump",42019,69619,"alabama","lee",0.603556500380643
"84","01083","Trump",34337,47847,"alabama","limestone",0.717641649424206
"86","01085","Trump",1835,6803,"alabama","lowndes",0.269733940908423
"88","01087","Trump",1539,8623,"alabama","macon",0.178476168386872
"89","01089","Trump",102395,189280,"alabama","madison",0.540971048182587
"91","01091","Trump",5337,10813,"alabama","marengo",0.493572551558309
"93","01093","Trump",12190,13647,"alabama","marion",0.893236608778486
"95","01095","Trump",33094,38974,"alabama","marshall",0.849130189357007
"98","01097","Trump",100605,179359,"alabama","mobile",0.560914144258164
"100","01099","Trump",6129,10554,"alabama","monroe",0.580727686185333
"101","01101","Trump",33122,97187,"alabama","montgomery",0.340806898041919
"103","01103","Trump",39504,52663,"alabama","morgan",0.750128173480432
"106","01105","Trump",1336,5185,"alabama","perry",0.257666345226615
"108","01107","Trump",5590,9607,"alabama","pickens",0.581867388362652
"110","01109","Trump",8020,13633,"alabama","pike",0.588278442015697
"111","01111","Trump",8548,10751,"alabama","randolph",0.795088828946145
"113","01113","Trump",9796,20874,"alabama","russell",0.469291942128964
"115","01115","Trump",36119,43817,"alabama","st clair",0.824314763676199
"117","01117","Trump",79428,112464,"alabama","shelby",0.706252667520273
"119","01119","Trump",1598,6237,"alabama","sumter",0.25621292287959
"122","01121","Trump",22210,35302,"alabama","talladega",0.629142824769135
"123","01123","Trump",14905,20720,"alabama","tallapoosa",0.719353281853282
"126","01125","Trump",50961,88475,"alabama","tuscaloosa",0.575993218423283
"127","01127","Trump",25947,30773,"alabama","walker",0.843174211159133
"130","01129","Trump",6554,8807,"alabama","washington",0.744180765300329
"131","01131","Trump",1826,5862,"alabama","wilcox",0.311497782326851
"133","01133","Trump",10187,11161,"alabama","winston",0.912731834065048
"135","04001","Trump",11442,34735,"arizona","apache",0.329408377717
"138","04003","Trump",35557,59289,"arizona","cochise",0.599723388824234
"139","04005","Trump",27052,71750,"arizona","coconino",0.377031358885017
"141","04007","Trump",18377,27320,"arizona","gila",0.672657393850659
"143","04009","Trump",10749,14783,"arizona","graham",0.727118988026788
"146","04011","Trump",2433,3615,"arizona","greenlee",0.673029045643154
"147","04012","Trump",5129,7365,"arizona","la paz",0.696401900882553
"149","04013","Trump",995665,2036439,"arizona","maricopa",0.488924539355218
"151","04015","Trump",78535,103366,"arizona","mohave",0.759775941799044
"153","04017","Trump",27657,51040,"arizona","navajo",0.541869122257053
"155","04019","Trump",207758,512739,"arizona","pima",0.405192505348725
"158","04021","Trump",107077,182183,"arizona","pinal",0.587744191280196
"159","04023","Trump",6194,19332,"arizona","santa cruz",0.320401406993586
"162","04025","Trump",91527,141129,"arizona","yavapai",0.648534319664987
"164","04027","Trump",36534,68744,"arizona","yuma",0.531450017456069
"165","05001","Trump",4304,6122,"arkansas","arkansas",0.703038222803006
"167","05003","Trump",5548,7673,"arkansas","ashley",0.723054867717972
"169","05005","Trump",15836,20471,"arkansas","baxter",0.773582140589126
"171","05007","Trump",73965,116214,"arkansas","benton",0.636455160307708
"173","05009","Trump",13652,16716,"arkansas","boone",0.816702560421153
"176","05011","Trump",2335,3549,"arkansas","bradley",0.657931811777966
"177","05013","Trump",1636,2115,"arkansas","calhoun",0.773522458628842
"180","05015","Trump",7424,11447,"arkansas","carroll",0.648554206342273
"182","05017","Trump",1752,4012,"arkansas","chicot",0.436689930209372
"184","05019","Trump",4616,8054,"arkansas","clark",0.57313136329774
"186","05021","Trump",4086,5048,"arkansas","clay",0.809429477020602
"188","05023","Trump",10328,12316,"arkansas","cleburne",0.838583955829815
"190","05025","Trump",2867,3518,"arkansas","cleveland",0.814951677089255
"192","05027","Trump",5500,8314,"arkansas","columbia",0.661534760644696
"194","05029","Trump",5694,8309,"arkansas","conway",0.685281020580094
"196","05031","Trump",25558,37479,"arkansas","craighead",0.681928546652792
"197","05033","Trump",18607,23566,"arkansas","crawford",0.78956971908682
"199","05035","Trump",7244,15569,"arkansas","crittenden",0.465283576337594
"201","05037","Trump",4946,6718,"arkansas","cross",0.736231021137243
"203","05039","Trump",1573,2536,"arkansas","dallas",0.620268138801262
"205","05041","Trump",1921,3937,"arkansas","desha",0.487934975869952
"207","05043","Trump",4349,6775,"arkansas","drew",0.641918819188192
"209","05045","Trump",34421,52768,"arkansas","faulkner",0.652308217101274
"212","05047","Trump",5677,6977,"arkansas","franklin",0.813673498638383
"214","05049","Trump",3961,4996,"arkansas","fulton",0.792834267413931
"216","05051","Trump",29069,43114,"arkansas","garland",0.674235747089113
"218","05053","Trump",6794,8062,"arkansas","grant",0.842718928305631
"219","05055","Trump",12651,15696,"arkansas","greene",0.806001529051988
"221","05057","Trump",4470,6608,"arkansas","hempstead",0.676452784503632
"223","05059","Trump",9202,12284,"arkansas","hot spring",0.74910452621296
"226","05061","Trump",3367,4707,"arkansas","howard",0.715317612067134
"227","05063","Trump",11250,14056,"arkansas","independence",0.800369948776323
"229","05065","Trump",4631,5652,"arkansas","izard",0.819355980184006
"231","05067","Trump",3593,4958,"arkansas","jackson",0.724687373941105
"233","05069","Trump",9500,24382,"arkansas","jefferson",0.389631695513083
"235","05071","Trump",6938,9221,"arkansas","johnson",0.752412970393667
"237","05073","Trump",1757,2596,"arkansas","lafayette",0.676810477657935
"239","05075","Trump",4569,5649,"arkansas","lawrence",0.808815719596389
"241","05077","Trump",1286,2709,"arkansas","lee",0.474713916574382
"243","05079","Trump",2729,3761,"arkansas","lincoln",0.725604892315873
"245","05081","Trump",3714,4940,"arkansas","little river",0.751821862348178
"247","05083","Trump",6441,7985,"arkansas","logan",0.806637445209768
"249","05085","Trump",22884,29568,"arkansas","lonoke",0.773944805194805
"251","05087","Trump",5658,7221,"arkansas","madison",0.783547985043623
"253","05089","Trump",5783,7314,"arkansas","marion",0.790675417008477
"256","05091","Trump",11920,16165,"arkansas","miller",0.737395607794618
"258","05093","Trump",7262,11804,"arkansas","mississippi",0.615215181294476
"260","05095","Trump",1545,2691,"arkansas","monroe",0.574136008918618
"262","05097","Trump",3046,3777,"arkansas","montgomery",0.806460153561027
"263","05099","Trump",1275,2050,"arkansas","nevada",0.621951219512195
"265","05101","Trump",3192,3901,"arkansas","newton",0.818251730325558
"268","05103","Trump",5294,9289,"arkansas","ouachita",0.569921412423296
"270","05105","Trump",3479,4491,"arkansas","perry",0.774660431975061
"272","05107","Trump",2417,6040,"arkansas","phillips",0.400165562913907
"274","05109","Trump",3519,4163,"arkansas","pike",0.845303867403315
"276","05111","Trump",5918,7342,"arkansas","poinsett",0.806047398529011
"277","05113","Trump",7035,8281,"arkansas","polk",0.849535080304311
"279","05115","Trump",18081,23853,"arkansas","pope",0.758017859388756
"281","05117","Trump",2786,3440,"arkansas","prairie",0.809883720930233
"283","05119","Trump",63687,165634,"arkansas","pulaski",0.384504389195455
"285","05121","Trump",5355,6570,"arkansas","randolph",0.815068493150685
"287","05123","Trump",3242,6846,"arkansas","st francis",0.473561203622553
"289","05125","Trump",39556,55616,"arkansas","saline",0.71123417721519
"291","05127","Trump",2962,3445,"arkansas","scott",0.859796806966618
"293","05129","Trump",3365,3953,"arkansas","searcy",0.851252213508728
"296","05131","Trump",31198,45685,"arkansas","sebastian",0.682893728795009
"298","05133","Trump",3884,5000,"arkansas","sevier",0.7768
"300","05135","Trump",5938,7336,"arkansas","sharp",0.809432933478735
"301","05137","Trump",4616,5796,"arkansas","stone",0.796411318150449
