"","FIPS","lname","votes","totalvotes","state","county","pct"
"1","01001","Biden",7450,27214,"alabama","autauga",0.273756154920262
"4","01003","Biden",24344,107399,"alabama","baldwin",0.226668777176696
"6","01005","Biden",4772,10377,"alabama","barbour",0.459863158909126
"8","01007","Biden",1982,9490,"alabama","bibb",0.208851422550053
"10","01009","Biden",2627,27222,"alabama","blount",0.0965028285945191
"12","01011","Biden",3439,4582,"alabama","bullock",0.750545613269315
"13","01013","Biden",3953,9401,"alabama","butler",0.420487182214658
"16","01015","Biden",15118,50082,"alabama","calhoun",0.301864941495947
"17","01017","Biden",6356,15104,"alabama","chambers",0.420815677966102
"20","01019","Biden",1619,12181,"alabama","cherokee",0.132911911994089
"22","01021","Biden",3056,19108,"alabama","chilton",0.159933012350848
"24","01023","Biden",3126,7420,"alabama","choctaw",0.421293800539084
"26","01025","Biden",5730,13040,"alabama","clarke",0.43941717791411
"27","01027","Biden",1262,6851,"alabama","clay",0.184206685155452
"29","01029","Biden",672,7144,"alabama","cleburne",0.0940649496080627
"31","01031","Biden",5050,21882,"alabama","coffee",0.230783292203638
"33","01033","Biden",7057,24368,"alabama","colbert",0.289601116217991
"36","01035","Biden",2951,6386,"alabama","conecuh",0.462104603820858
"38","01037","Biden",1794,5420,"alabama","coosa",0.3309963099631
"39","01039","Biden",2717,17296,"alabama","covington",0.157088344125809
"42","01041","Biden",1700,6564,"alabama","crenshaw",0.258988421694089
"43","01043","Biden",4454,41258,"alabama","cullman",0.107954820883223
"45","01045","Biden",5154,19435,"alabama","dale",0.265191664522768
"48","01047","Biden",12228,17751,"alabama","dallas",0.688862599290181
"49","01049","Biden",4271,29015,"alabama","de kalb",0.147199724280545
"52","01051","Biden",10304,40393,"alabama","elmore",0.255093704354715
"54","01053","Biden",4894,15738,"alabama","escambia",0.310967086033804
"55","01055","Biden",11487,46830,"alabama","etowah",0.245291479820628
"58","01057","Biden",1390,8685,"alabama","fayette",0.160046056419113
"60","01059","Biden",2085,12449,"alabama","franklin",0.167483331994538
"62","01061","Biden",1592,12436,"alabama","geneva",0.128015439047925
"63","01063","Biden",3880,4755,"alabama","greene",0.815983175604627
"66","01065","Biden",4687,7877,"alabama","hale",0.595023486098769
"67","01067","Biden",2589,9182,"alabama","henry",0.281964713570028
"70","01069","Biden",12738,45122,"alabama","houston",0.282301316431009
"72","01071","Biden",3709,23353,"alabama","jackson",0.15882327752323
"74","01073","Biden",180936,319379,"alabama","jefferson",0.566524411435943
"75","01075","Biden",978,7146,"alabama","lamar",0.136859781696054
"78","01077","Biden",11872,43450,"alabama","lauderdale",0.273233601841197
"80","01079","Biden",3544,15810,"alabama","lawrence",0.22416192283365
"81","01081","Biden",27600,69619,"alabama","lee",0.396443499619357
"83","01083","Biden",13510,47847,"alabama","limestone",0.282358350575794
"85","01085","Biden",4968,6803,"alabama","lowndes",0.730266059091577
"87","01087","Biden",7084,8623,"alabama","macon",0.821523831613128
"90","01089","Biden",86885,189280,"alabama","madison",0.459028951817413
"92","01091","Biden",5476,10813,"alabama","marengo",0.506427448441691
"94","01093","Biden",1457,13647,"alabama","marion",0.106763391221514
"96","01095","Biden",5880,38974,"alabama","marshall",0.150869810642993
"97","01097","Biden",78754,179359,"alabama","mobile",0.439085855741836
"99","01099","Biden",4425,10554,"alabama","monroe",0.419272313814667
"102","01101","Biden",64065,97187,"alabama","montgomery",0.659193101958081
"104","01103","Biden",13159,52663,"alabama","morgan",0.249871826519568
"105","01105","Biden",3849,5185,"alabama","perry",0.742333654773385
"107","01107","Biden",4017,9607,"alabama","pickens",0.418132611637348
"109","01109","Biden",5613,13633,"alabama","pike",0.411721557984303
"112","01111","Biden",2203,10751,"alabama","randolph",0.204911171053855
"114","01113","Biden",11078,20874,"alabama","russell",0.530708057871036
"116","01115","Biden",7698,43817,"alabama","st clair",0.175685236323801
"118","01117","Biden",33036,112464,"alabama","shelby",0.293747332479727
"120","01119","Biden",4639,6237,"alabama","sumter",0.74378707712041
"121","01121","Biden",13092,35302,"alabama","talladega",0.370857175230865
"124","01123","Biden",5815,20720,"alabama","tallapoosa",0.280646718146718
"125","01125","Biden",37514,88475,"alabama","tuscaloosa",0.424006781576717
"128","01127","Biden",4826,30773,"alabama","walker",0.156825788840867
"129","01129","Biden",2253,8807,"alabama","washington",0.255819234699671
"132","01131","Biden",4036,5862,"alabama","wilcox",0.688502217673149
"134","01133","Biden",974,11161,"alabama","winston",0.0872681659349521
"136","04001","Biden",23293,34735,"arizona","apache",0.670591622283
"137","04003","Biden",23732,59289,"arizona","cochise",0.400276611175766
"140","04005","Biden",44698,71750,"arizona","coconino",0.622968641114983
"142","04007","Biden",8943,27320,"arizona","gila",0.327342606149341
"144","04009","Biden",4034,14783,"arizona","graham",0.272881011973212
"145","04011","Biden",1182,3615,"arizona","greenlee",0.326970954356846
"148","04012","Biden",2236,7365,"arizona","la paz",0.303598099117447
"150","04013","Biden",1040774,2036439,"arizona","maricopa",0.511075460644782
"152","04015","Biden",24831,103366,"arizona","mohave",0.240224058200956
"154","04017","Biden",23383,51040,"arizona","navajo",0.458130877742947
"156","04019","Biden",304981,512739,"arizona","pima",0.594807494651275
"157","04021","Biden",75106,182183,"arizona","pinal",0.412255808719804
"160","04023","Biden",13138,19332,"arizona","santa cruz",0.679598593006414
"161","04025","Biden",49602,141129,"arizona","yavapai",0.351465680335013
"163","04027","Biden",32210,68744,"arizona","yuma",0.468549982543931
"166","05001","Biden",1818,6122,"arkansas","arkansas",0.296961777196994
"168","05003","Biden",2125,7673,"arkansas","ashley",0.276945132282028
"170","05005","Biden",4635,20471,"arkansas","baxter",0.226417859410874
"172","05007","Biden",42249,116214,"arkansas","benton",0.363544839692292
"174","05009","Biden",3064,16716,"arkansas","boone",0.183297439578847
"175","05011","Biden",1214,3549,"arkansas","bradley",0.342068188222034
"178","05013","Biden",479,2115,"arkansas","calhoun",0.226477541371158
"179","05015","Biden",4023,11447,"arkansas","carroll",0.351445793657727
"181","05017","Biden",2260,4012,"arkansas","chicot",0.563310069790628
"183","05019","Biden",3438,8054,"arkansas","clark",0.42686863670226
"185","05021","Biden",962,5048,"arkansas","clay",0.190570522979398
"187","05023","Biden",1988,12316,"arkansas","cleburne",0.161416044170185
"189","05025","Biden",651,3518,"arkansas","cleveland",0.185048322910745
"191","05027","Biden",2814,8314,"arkansas","columbia",0.338465239355304
"193","05029","Biden",2615,8309,"arkansas","conway",0.314718979419906
"195","05031","Biden",11921,37479,"arkansas","craighead",0.318071453347208
"198","05033","Biden",4959,23566,"arkansas","crawford",0.21043028091318
"200","05035","Biden",8325,15569,"arkansas","crittenden",0.534716423662406
"202","05037","Biden",1772,6718,"arkansas","cross",0.263768978862757
"204","05039","Biden",963,2536,"arkansas","dallas",0.379731861198738
"206","05041","Biden",2016,3937,"arkansas","desha",0.512065024130048
"208","05043","Biden",2426,6775,"arkansas","drew",0.358081180811808
"210","05045","Biden",18347,52768,"arkansas","faulkner",0.347691782898726
"211","05047","Biden",1300,6977,"arkansas","franklin",0.186326501361617
"213","05049","Biden",1035,4996,"arkansas","fulton",0.207165732586069
"215","05051","Biden",14045,43114,"arkansas","garland",0.325764252910887
"217","05053","Biden",1268,8062,"arkansas","grant",0.157281071694369
"220","05055","Biden",3045,15696,"arkansas","greene",0.193998470948012
"222","05057","Biden",2138,6608,"arkansas","hempstead",0.323547215496368
"224","05059","Biden",3082,12284,"arkansas","hot spring",0.25089547378704
"225","05061","Biden",1340,4707,"arkansas","howard",0.284682387932866
"228","05063","Biden",2806,14056,"arkansas","independence",0.199630051223677
"230","05065","Biden",1021,5652,"arkansas","izard",0.180644019815994
"232","05067","Biden",1365,4958,"arkansas","jackson",0.275312626058895
"234","05069","Biden",14882,24382,"arkansas","jefferson",0.610368304486917
"236","05071","Biden",2283,9221,"arkansas","johnson",0.247587029606333
"238","05073","Biden",839,2596,"arkansas","lafayette",0.323189522342065
"240","05075","Biden",1080,5649,"arkansas","lawrence",0.191184280403611
"242","05077","Biden",1423,2709,"arkansas","lee",0.525286083425618
"244","05079","Biden",1032,3761,"arkansas","lincoln",0.274395107684127
"246","05081","Biden",1226,4940,"arkansas","little river",0.248178137651822
"248","05083","Biden",1544,7985,"arkansas","logan",0.193362554790232
"250","05085","Biden",6684,29568,"arkansas","lonoke",0.226055194805195
"252","05087","Biden",1563,7221,"arkansas","madison",0.216452014956377
"254","05089","Biden",1531,7314,"arkansas","marion",0.209324582991523
"255","05091","Biden",4245,16165,"arkansas","miller",0.262604392205382
"257","05093","Biden",4542,11804,"arkansas","mississippi",0.384784818705524
"259","05095","Biden",1146,2691,"arkansas","monroe",0.425863991081382
"261","05097","Biden",731,3777,"arkansas","montgomery",0.193539846438973
"264","05099","Biden",775,2050,"arkansas","nevada",0.378048780487805
"266","05101","Biden",709,3901,"arkansas","newton",0.181748269674442
"267","05103","Biden",3995,9289,"arkansas","ouachita",0.430078587576704
"269","05105","Biden",1012,4491,"arkansas","perry",0.225339568024939
"271","05107","Biden",3623,6040,"arkansas","phillips",0.599834437086093
"273","05109","Biden",644,4163,"arkansas","pike",0.154696132596685
"275","05111","Biden",1424,7342,"arkansas","poinsett",0.193952601470989
"278","05113","Biden",1246,8281,"arkansas","polk",0.150464919695689
"280","05115","Biden",5772,23853,"arkansas","pope",0.241982140611244
"282","05117","Biden",654,3440,"arkansas","prairie",0.190116279069767
"284","05119","Biden",101947,165634,"arkansas","pulaski",0.615495610804545
"286","05121","Biden",1215,6570,"arkansas","randolph",0.184931506849315
"288","05123","Biden",3604,6846,"arkansas","st francis",0.526438796377447
"290","05125","Biden",16060,55616,"arkansas","saline",0.28876582278481
"292","05127","Biden",483,3445,"arkansas","scott",0.140203193033382
"294","05129","Biden",588,3953,"arkansas","searcy",0.148747786491272
"295","05131","Biden",14487,45685,"arkansas","sebastian",0.317106271204991
"297","05133","Biden",1116,5000,"arkansas","sevier",0.2232
"299","05135","Biden",1398,7336,"arkansas","sharp",0.190567066521265
"302","05137","Biden",1180,5796,"arkansas","stone",0.203588681849551
"303","05139","Biden",5584,16062,"arkansas","union",0.347652845224754
"305","05141","Biden",1593,7627,"arkansas","van buren",0.208863248983873
"308","05143","Biden",43824,91328,"arkansas","washington",0.479852838121934
"309","05145","Biden",5978,30160,"arkansas","white",0.198209549071618
"312","05147","Biden",856,2399,"arkansas","woodruff",0.356815339724885
"314","05149","Biden",1284,6510,"arkansas","yell",0.197235023041475
"315","06001","Biden",616180,752105,"california","alameda",0.819273904574494
"318","06003","Biden",473,711,"california","alpine",0.665260196905767
"319","06005","Biden",8152,21736,"california","amador",0.375046006624954
"322","06007","Biden",49402,96970,"california","butte",0.509456532948334
"323","06009","Biden",9845,26132,"california","calaveras",0.376741160263279
