"FIPS","population","cuml.cases","deaths","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","state.x","county.x","pct.x","density","deaths_adjusted","cuml.cases_adjusted","cases_to_deaths","Age_over_65","deaths_age65_ratio","age65_ratio","broadband_access.y","Series_Complete_Pop_Pct","adjacent_ideology","divergence"
"01001",55200,6906,107,0.3631,0.581,0.5947,0.3741,"alabama","autauga",0.273756154920262,91.8,0.00193840579710145,0.125108695652174,0.0154937735302635,8283,0.0129180248702161,0.150054347826087,83,43.9,0.49866969540908,0.548972912211334
"01003",208107,20965,306,0.2232,0.199,0.4358,0.3359,"alabama","baldwin",0.226668777176696,114.6,0.00147039743977858,0.100741445506398,0.0145957548294777,42531,0.00719475206320096,0.204370828468048,85,50.5,0.381293025061216,0.594473966945251
"01005",25782,2301,56,0.978,0.9153,0.8558,0.9889,"alabama","barbour",0.459863158909126,31,0.00217205802497867,0.0892483127763556,0.0243372446762277,4710,0.0118895966029724,0.182685594600884,65,45.1,0.469657997729666,0.979144741774038
"01007",22527,2595,63,0.7694,0.1203,0.4323,0.7189,"alabama","bibb",0.208851422550053,36.8,0.0027966440271674,0.115195099214276,0.0242774566473988,3584,0.017578125,0.159097971323301,76,34.6,0.463594779785898,0.450504258582262
"01009",57645,6615,135,0.6143,0.3187,0.5915,0.1741,"alabama","blount",0.0965028285945191,88.9,0.00234192037470726,0.114754098360656,0.0204081632653061,10326,0.0130737943056363,0.179130887327609,80,31.5,0.233858591324576,0.412654621957341
"01011",10352,1229,41,0.9771,0.4438,0.6749,0.765,"alabama","bullock",0.750545613269315,17.5,0.00396058732612056,0.118721020092736,0.0333604556550041,1640,0.025,0.158423493044822,61,53.2,0.576601941667135,1.30167028418124
"01013",20025,2153,69,0.8455,0.9077,0.6447,0.6259,"alabama","butler",0.420487182214658,27,0.00344569288389513,0.107515605493134,0.0320483046911287,3900,0.0176923076923077,0.194756554307116,74,39.3,0.452703660036691,0.928835393512342
"01015",115098,14446,312,0.7866,0.8303,0.6507,0.6492,"alabama","calhoun",0.301864941495947,195.7,0.00271073346191941,0.125510434586179,0.0215976740966357,19738,0.0158070726517378,0.171488644459504,80,46.7,0.203762150595489,1.48145737868272
"01017",33826,3543,123,0.6901,0.6609,0.4597,0.7943,"alabama","chambers",0.420815677966102,57.4,0.00363625613433454,0.104741914503636,0.0347163420829805,6470,0.0190108191653787,0.191272985277597,75,31.3,0.30952050927841,1.35957284041421
"01019",25853,1836,45,0.6879,0.4492,0.2751,0.2741,"alabama","cherokee",0.132911911994089,46.9,0.00174061037403783,0.0710169032607434,0.0245098039215686,5811,0.00774393391843056,0.224770819634085,75,30.5,0.210784040714665,0.630559655007326
